timestamp,binance
1775046265000,68579.37
1775046266000,68578.68
1775046267000,68578.0
1775046269000,68578.01
1775046270000,68578.0
1775046271000,68578.01
1775046272000,68578.0
1775046273000,68577.05
1775046274000,68576.72
1775046275000,68576.71
1775046276000,68572.65
1775046277000,68572.66
1775046278000,68572.66
1775046279000,68572.66
1775046280000,68572.65
1775046281000,68572.66
1775046282000,68572.66
1775046283000,68576.24
1775046284000,68576.23
1775046285000,68576.24
1775046286000,68576.24
1775046287000,68576.24
1775046288000,68576.23
1775046289000,68576.24
1775046290000,68576.23
1775046291000,68576.24
1775046292000,68576.24
1775046293000,68576.24
1775046295000,68576.23
1775046296000,68576.24
1775046297000,68576.24
1775046299000,68576.23
1775046300000,68576.24
1775046301000,68576.23
1775046302000,68580.97
1775046303000,68584.71
1775046304000,68591.34
1775046306000,68591.46
1775046307000,68592.0
1775046308000,68592.0
1775046309000,68592.0
1775046310000,68591.99
1775046311000,68592.0
1775046313000,68591.99
1775046314000,68595.49
1775046316000,68599.51
1775046317000,68604.9
1775046318000,68607.12
1775046319000,68608.04
1775046320000,68617.73
1775046321000,68617.74
1775046322000,68617.74
1775046323000,68617.74
1775046324000,68617.74
1775046325000,68621.3
1775046326000,68621.31
1775046327000,68621.3
1775046328000,68621.31
1775046329000,68621.31
1775046332000,68621.31
1775046333000,68621.31
1775046334000,68621.31
1775046335000,68621.3
1775046336000,68621.31
1775046337000,68621.31
1775046338000,68621.31
1775046339000,68616.78
1775046340000,68616.78
1775046341000,68616.78
1775046343000,68616.78
1775046344000,68616.78
1775046347000,68616.78
1775046348000,68616.78
1775046349000,68616.78
1775046351000,68616.78
1775046352000,68616.77
1775046353000,68616.77
1775046354000,68616.78
1775046355000,68620.89
1775046356000,68620.88
1775046357000,68620.89
1775046358000,68620.88
1775046359000,68620.89
1775046360000,68620.88
1775046361000,68611.32
1775046362000,68610.88
1775046363000,68610.88
1775046364000,68607.07
1775046366000,68607.07
1775046367000,68603.02
1775046368000,68603.02
1775046369000,68598.75
1775046370000,68597.15
1775046371000,68597.15
1775046372000,68597.15
1775046373000,68597.14
1775046374000,68597.15
1775046375000,68597.14
1775046376000,68597.15
1775046377000,68597.15
1775046378000,68597.15
1775046380000,68597.15
1775046381000,68596.0
1775046382000,68596.01
1775046383000,68596.01
1775046384000,68592.01
1775046385000,68592.01
1775046386000,68592.01
1775046387000,68592.01
1775046388000,68592.01
1775046389000,68589.97
1775046390000,68589.97
1775046391000,68589.97
1775046392000,68589.97
1775046393000,68588.31
1775046395000,68588.31
1775046396000,68588.32
1775046397000,68588.32
1775046398000,68588.32
1775046399000,68576.21
1775046400000,68576.2
1775046401000,68566.25
1775046403000,68566.25
1775046404000,68566.24
1775046405000,68566.24
1775046406000,68566.25
1775046407000,68566.24
1775046408000,68566.25
1775046409000,68566.24
1775046411000,68566.25
1775046412000,68556.0
1775046413000,68547.26
1775046414000,68547.25
1775046415000,68547.26
1775046417000,68547.25
1775046418000,68547.26
1775046419000,68547.25
1775046420000,68547.26
1775046421000,68547.26
1775046422000,68547.26
1775046424000,68547.26
1775046425000,68547.26
1775046427000,68542.29
1775046428000,68542.5
1775046430000,68534.73
1775046431000,68530.51
1775046432000,68527.15
1775046433000,68527.15
1775046434000,68527.15
1775046435000,68521.43
1775046436000,68521.44
1775046437000,68521.44
1775046438000,68521.43
1775046439000,68521.44
1775046440000,68521.44
1775046441000,68524.66
1775046442000,68524.66
1775046443000,68524.65
1775046444000,68524.66
1775046445000,68524.65
1775046446000,68524.66
1775046447000,68524.65
1775046449000,68524.66
1775046450000,68524.66
1775046454000,68524.65
1775046455000,68524.66
1775046456000,68524.65
1775046457000,68524.66
1775046458000,68524.66
1775046459000,68524.66
1775046461000,68524.66
1775046462000,68524.66
1775046463000,68524.65
1775046464000,68524.66
1775046465000,68524.66
1775046466000,68518.13
1775046467000,68518.13
1775046468000,68518.12
1775046469000,68518.13
1775046470000,68518.12
1775046471000,68518.12
1775046472000,68518.13
1775046473000,68518.13
1775046474000,68518.13
1775046475000,68518.13
1775046476000,68518.13
1775046477000,68518.13
1775046478000,68518.13
1775046479000,68518.13
1775046480000,68518.13
1775046481000,68518.12
1775046482000,68514.02
1775046483000,68513.59
1775046484000,68513.58
1775046485000,68513.59
1775046486000,68513.59
1775046487000,68518.13
1775046488000,68518.12
1775046489000,68518.13
1775046490000,68524.66
1775046492000,68524.66
1775046493000,68524.65
1775046495000,68524.66
1775046496000,68524.66
1775046497000,68524.66
1775046498000,68524.66
1775046500000,68524.65
1775046501000,68524.65
1775046502000,68524.66
1775046503000,68530.5
1775046504000,68530.51
1775046505000,68530.51
1775046506000,68530.5
1775046508000,68530.5
1775046509000,68530.51
1775046510000,68530.51
1775046513000,68529.99
1775046514000,68522.23
1775046515000,68522.23
1775046516000,68522.24
1775046517000,68522.24
1775046518000,68522.23
1775046519000,68522.24
1775046520000,68522.23
1775046521000,68522.24
1775046522000,68526.68
1775046523000,68526.68
1775046524000,68526.68
1775046525000,68526.68
1775046527000,68532.5
1775046528000,68537.48
1775046531000,68537.49
1775046532000,68537.49
1775046533000,68537.49
1775046534000,68532.76
1775046535000,68532.49
1775046537000,68532.49
1775046539000,68532.5
1775046541000,68532.5
1775046542000,68532.49
1775046543000,68532.5
1775046544000,68532.5
1775046545000,68532.5
1775046546000,68532.49
1775046547000,68532.49
1775046548000,68532.5
1775046549000,68532.49
1775046550000,68532.5
1775046551000,68532.5
1775046552000,68532.5
1775046553000,68530.88
1775046554000,68526.9
1775046555000,68524.66
1775046556000,68524.53
1775046557000,68524.52
1775046558000,68524.53
1775046560000,68524.53
1775046564000,68524.52
1775046567000,68524.53
1775046568000,68524.53
1775046570000,68524.53
1775046571000,68524.53
1775046573000,68524.53
1775046574000,68524.53
1775046575000,68524.52
1775046576000,68524.52
1775046577000,68524.53
1775046578000,68524.53
1775046579000,68524.52
1775046580000,68524.52
1775046581000,68524.53
1775046582000,68524.52
1775046583000,68524.53
1775046584000,68524.52
1775046585000,68524.52
1775046587000,68524.53
1775046589000,68524.53
1775046590000,68524.52
1775046591000,68524.52
1775046592000,68524.52
1775046594000,68524.52
1775046598000,68524.52
1775046599000,68524.53
1775046600000,68524.53
1775046601000,68524.53
1775046603000,68532.27
1775046604000,68537.49
1775046605000,68537.49
1775046606000,68537.49
1775046607000,68558.38
1775046608000,68572.19
1775046609000,68565.39
1775046610000,68559.45
1775046611000,68558.42
1775046612000,68554.07
1775046613000,68554.01
1775046614000,68554.01
1775046615000,68551.39
1775046616000,68550.63
1775046617000,68550.63
1775046618000,68550.62
1775046619000,68550.63
1775046621000,68550.62
1775046622000,68554.01
1775046623000,68562.85
1775046624000,68570.99
1775046625000,68581.33
1775046626000,68580.12
1775046627000,68572.61
1775046628000,68570.99
1775046629000,68570.98
1775046630000,68570.99
1775046631000,68570.99
1775046632000,68568.35
1775046633000,68568.35
1775046634000,68568.35
1775046635000,68562.85
1775046636000,68562.65
1775046637000,68562.65
1775046638000,68558.88
1775046639000,68558.88
1775046640000,68554.88
1775046641000,68551.26
1775046642000,68551.19
1775046643000,68551.19
1775046644000,68551.2
1775046645000,68551.2
1775046646000,68551.19
1775046647000,68551.2
1775046648000,68551.19
1775046649000,68551.2
1775046650000,68562.0
1775046651000,68572.29
1775046652000,68572.28
1775046654000,68579.99
1775046655000,68580.86
1775046656000,68581.32
1775046657000,68581.33
1775046658000,68584.28
1775046659000,68584.29
1775046660000,68570.48
1775046661000,68570.48
1775046662000,68568.88
1775046663000,68564.0
1775046664000,68563.37
1775046665000,68556.92
1775046666000,68556.91
1775046667000,68555.36
1775046668000,68555.36
1775046669000,68555.35
1775046670000,68554.0
1775046671000,68553.03
1775046672000,68553.03
1775046673000,68553.03
1775046674000,68553.04
1775046675000,68553.04
1775046676000,68550.62
1775046677000,68542.89
1775046678000,68535.06
1775046679000,68535.05
1775046680000,68535.06
1775046681000,68533.63
1775046682000,68529.25
1775046684000,68518.69
1775046685000,68518.69
1775046686000,68518.69
1775046687000,68518.7
1775046689000,68514.48
1775046690000,68508.15
1775046692000,68505.18
1775046693000,68505.18
1775046694000,68505.19
1775046695000,68489.97
1775046697000,68489.97
1775046698000,68489.97
1775046699000,68489.96
1775046700000,68494.04
1775046701000,68501.43
1775046702000,68501.42
1775046703000,68501.43
1775046704000,68501.43
1775046705000,68501.43
1775046706000,68507.99
1775046707000,68507.99
1775046708000,68507.98
1775046709000,68501.99
1775046710000,68502.0
1775046711000,68502.0
1775046712000,68496.13
1775046713000,68496.12
1775046714000,68496.12
1775046715000,68496.12
1775046717000,68500.99
1775046718000,68500.99
1775046719000,68500.99
1775046720000,68490.24
1775046721000,68490.01
1775046722000,68496.13
1775046723000,68491.45
1775046724000,68491.45
1775046725000,68490.59
1775046726000,68490.58
1775046727000,68490.59
1775046728000,68490.59
1775046729000,68481.0
1775046730000,68481.01
1775046731000,68481.01
1775046732000,68507.39
1775046733000,68507.4
1775046734000,68507.4
1775046735000,68507.4
1775046736000,68507.4
1775046737000,68507.4
1775046738000,68507.39
1775046739000,68507.39
1775046740000,68507.4
1775046741000,68507.39
1775046742000,68507.4
1775046743000,68507.4
1775046744000,68507.4
1775046745000,68507.39
1775046746000,68507.4
1775046747000,68507.39
1775046748000,68507.4
1775046749000,68507.4
1775046750000,68508.39
1775046751000,68508.38
1775046752000,68508.38
1775046753000,68505.69
1775046754000,68501.43
1775046755000,68501.44
1775046756000,68501.43
1775046757000,68501.44
1775046759000,68501.43
1775046760000,68501.43
1775046761000,68494.32
1775046762000,68494.11
1775046763000,68494.11
1775046764000,68494.11
1775046765000,68494.1
1775046766000,68494.1
1775046767000,68494.1
1775046768000,68491.74
1775046769000,68487.04
1775046771000,68484.97
1775046772000,68484.97
1775046773000,68484.98
1775046774000,68484.97
1775046775000,68484.98
1775046777000,68480.0
1775046779000,68479.7
1775046780000,68478.68
1775046781000,68478.67
1775046782000,68468.01
1775046783000,68468.01
1775046784000,68468.0
1775046785000,68468.0
1775046786000,68468.01
1775046787000,68468.0
1775046788000,68477.79
1775046789000,68477.78
1775046790000,68477.78
1775046791000,68477.78
1775046792000,68477.79
1775046793000,68477.79
1775046794000,68477.79
1775046795000,68477.78
1775046796000,68477.78
1775046797000,68477.78
1775046798000,68477.79
1775046799000,68477.79
1775046800000,68470.0
1775046801000,68469.77
1775046802000,68469.76
1775046803000,68469.77
1775046804000,68469.77
1775046805000,68469.77
1775046806000,68471.83
1775046807000,68471.83
1775046808000,68473.15
1775046809000,68473.16
1775046810000,68473.16
1775046811000,68473.16
1775046812000,68473.15
1775046813000,68452.83
1775046814000,68453.02
1775046815000,68461.03
1775046816000,68455.05
1775046817000,68450.98
1775046818000,68450.97
1775046819000,68451.21
1775046820000,68451.2
1775046821000,68451.21
1775046822000,68451.2
1775046823000,68452.11
1775046824000,68454.21
1775046825000,68458.88
1775046826000,68459.3
1775046827000,68459.31
1775046829000,68459.31
1775046831000,68460.5
1775046832000,68450.0
1775046833000,68450.01
1775046835000,68450.01
1775046836000,68450.01
1775046837000,68450.01
1775046838000,68450.01
